dataset,field_name,field_path,description,data_type_observed,data_type_expected,nullable,allowed_values_or_range,example_redacted,pii_classification,transform_lineage,used_in_rules,present_in_outputs
data_quality_report_pre,issue_type,issue_type,Pipeline output attribute.,str,,False,Completeness|Consistency|Cross-field logic|Plausibility|Synthetic indicator|Uniqueness|Validity,Completeness,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog
data_quality_report_pre,percent,percent,Pipeline output attribute.,float,,False,"[0.0, 99.0]",87.65,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre
data_quality_report_pre,rule_family,rule_family,Pipeline output attribute.,str,,False,APP|DUP|SPN,APP,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_pre,rule_id,rule_id,Pipeline output attribute.,str,,False,,R_APP_001,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison|data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_pre,rule_key,rule_key,Pipeline output attribute.,str,,False,,flag_missing_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_pre,severity,severity,Pipeline output attribute.,str,,False,high|low|medium,high,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog
data_quality_report_pre,source_columns,source_columns,Pipeline output attribute.,str,,False,,raw_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_pre,stage,stage,Pipeline output attribute.,str,,False,pre,pre,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_pre,value_source,value_source,Pipeline output attribute.,str,,False,metadata|raw,raw,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
duplicate_id_report,application_id,_id,External application identifier.,str,string,False,app_001|app_042,app_001,Quasi-PII,pipeline_derived_or_passthrough,R_DUP_001|R_DUP_002|R_DUP_003|R_DUP_004|R_DUP_CANONICAL|R_DUP_CONFLICT,applications_analysis|applications_curated_full|duplicate_id_report|spending_items_clean
duplicate_id_report,canonical_reason,canonical_reason,Pipeline output attribute.,str,,False,missing_or_unparseable_timestamp_fallback_max_row_id,missing_or_unparseable_timestamp_fall...,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full|duplicate_id_report
duplicate_id_report,canonical_row_id,canonical_row_id,Pipeline output attribute.,int,,False,"[354, 455]",455,Non-PII,pipeline_derived_or_passthrough,,duplicate_id_report
duplicate_id_report,classification,classification,Pipeline output attribute.,str,,False,conflict|versioned,conflict,Non-PII,pipeline_derived_or_passthrough,R_DUP_CONFLICT,duplicate_id_report|pii_inventory
duplicate_id_report,dup_count,dup_count,Pipeline output attribute.,int,,False,"[2, 2]",2,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full|duplicate_id_report
duplicate_id_report,example_differences,example_differences,Pipeline output attribute.,str,,False,raw_applicant_ssn|raw_applicant_ip_address|raw_applicant_gender|raw_applicant_date_of_birth|raw_applicant_zip_code|raw_notes|raw_notes,raw_applicant_ssn|raw_applicant_ip_ad...,Non-PII,pipeline_derived_or_passthrough,,duplicate_id_report
pii_inventory,classification,classification,Pipeline output attribute.,str,,False,Non-PII|PII|Quasi-PII,Quasi-PII,Non-PII,pipeline_derived_or_passthrough,R_DUP_CONFLICT,duplicate_id_report|pii_inventory
pii_inventory,field_path,field_path,Pipeline output attribute.,str,,False,,_id,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|pii_inventory|rule_catalog|schema_validation_report_post|schema_validation_report_pre
pii_inventory,notes/purpose,notes/purpose,Pipeline output attribute.,str,,False,,External application identifier.,Non-PII,pipeline_derived_or_passthrough,,pii_inventory
pii_inventory,present_in,present_in,Pipeline output attribute.,str,,False,analysis|raw|curated|raw|curated|analysis,raw|curated|analysis,Non-PII,pipeline_derived_or_passthrough,,pii_inventory
raw_json,_id,_id,External application identifier.,str,string,False,,app_200,Quasi-PII,source_json,R_DUP_001|R_DUP_002|R_DUP_003|R_DUP_004|R_DUP_CANONICAL|R_DUP_CONFLICT,applications_analysis|applications_curated_full|duplicate_id_report|spending_items_clean
raw_json,amount,spending_behavior[].amount,Spending amount must be >= 0.,int,numeric,False,,480,Non-PII,source_json,R_SPN_002|R_SPN_003,spending_items_clean
raw_json,annual_income,financials.annual_income,May drift into annual_salary.,float|int|str,numeric,False,,73000,Non-PII,source_json,R_APP_010|R_APP_011,applications_curated_full
raw_json,annual_salary,financials.annual_salary,Field drift variant for annual_income.,int,numeric,False,,45000,Non-PII,source_json,R_APP_011,applications_curated_full
raw_json,approved_amount,decision.approved_amount,Required when loan_approved=True.,int,numeric,False,,59000,Non-PII,source_json,R_APP_015,applications_curated_full
raw_json,category,spending_behavior[].category,Spending category label.,str,string,False,,Shopping,Non-PII,source_json,R_SPN_001,spending_items_clean
raw_json,credit_history_months,financials.credit_history_months,Must be >= 0.,int,integer,False,>=0,23,Non-PII,source_json,R_APP_012|R_APP_017|R_APP_018,applications_curated_full
raw_json,date_of_birth,applicant_info.date_of_birth,Source supports multiple date formats.,str,date string,True,,2001-**-**,PII,source_json,R_APP_002|R_APP_008|R_APP_009,applications_curated_full
raw_json,debt_to_income,financials.debt_to_income,"Expected range [0, 1].",float,numeric,False,"[0,1]",0.2,Non-PII,source_json,R_APP_014,applications_curated_full
raw_json,email,applicant_info.email,Direct identifier and contact field.,str,string,True,,j***@hotmail.com,PII,source_json,R_APP_002|R_APP_004|R_APP_005,applications_curated_full
raw_json,full_name,applicant_info.full_name,Direct identifier.,str,string,False,,[REDACTED_NAME],PII,source_json,R_APP_002,applications_curated_full
raw_json,gender,applicant_info.gender,Allowed source variants: Male/Female/M/F.,str,string,True,Male|Female,Male,Quasi-PII,source_json,R_APP_002|R_APP_006|R_APP_007,applications_curated_full
raw_json,interest_rate,decision.interest_rate,Required when loan_approved=True.,float,numeric,False,,3.7,Non-PII,source_json,R_APP_015,applications_curated_full
raw_json,ip_address,applicant_info.ip_address,Device/network identifier.,str,IPv4/IPv6 string,False,,[REDACTED_IP],PII,source_json,R_APP_002|R_APP_003|R_APP_019,applications_curated_full
raw_json,loan_approved,decision.loan_approved,Decision flag.,bool,boolean,False,,False,Non-PII,source_json,R_APP_015|R_APP_016|R_APP_017|R_APP_018,applications_curated_full
raw_json,loan_purpose,loan_purpose,Optional top-level context field.,str,string,False,,vacation,Non-PII,source_json,,applications_curated_full
raw_json,notes,notes,Optional operational notes.,str,string,False,,RESUBMISSION,Non-PII,source_json,,applications_curated_full
raw_json,processing_timestamp,processing_timestamp,Processing event time used for canonical selection.,str,datetime-like string,False,,2024-01-15T00:00:00Z,Non-PII,source_json,R_APP_001,applications_curated_full
raw_json,rejection_reason,decision.rejection_reason,Required when loan_approved=False.,str,string,False,,algorithm_risk_score,Non-PII,source_json,R_APP_016,applications_curated_full
raw_json,savings_balance,financials.savings_balance,Must be >= 0.,int,numeric,False,>=0,31212,Non-PII,source_json,R_APP_013,applications_curated_full
raw_json,ssn,applicant_info.ssn,National identifier.,str,string,False,,***-**-4340,PII,source_json,R_APP_002|R_APP_003|R_DUP_003|R_DUP_004,applications_curated_full
raw_json,zip_code,applicant_info.zip_code,Location quasi-identifier.,str,string,True,,10036,Quasi-PII,source_json,R_APP_002,applications_curated_full
rule_catalog,count_unit,count_unit,Pipeline output attribute.,str,,False,distinct_ids|rows,rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,dataset_scope,dataset_scope,Pipeline output attribute.,str,,False,curated|quality|raw,curated,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,denominator,denominator,Pipeline output attribute.,str,,False,application_rows|spending_rows,application_rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,description,description,Pipeline output attribute.,str,,False,,Missing or blank processing timestamp.,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,field_path,field_path,Pipeline output attribute.,str,,False,,processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|pii_inventory|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,field_path_annotated,field_path_annotated,Pipeline output attribute.,str,,False,,processing_timestamp_clean,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,issue_type,issue_type,Pipeline output attribute.,str,,False,Completeness|Consistency|Cross-field logic|KPI|Plausibility|Synthetic indicator|Uniqueness|Validity,Completeness,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog
rule_catalog,rule_family,rule_family,Pipeline output attribute.,str,,False,APP|DUP|KPI|SPN,APP,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,rule_id,rule_id,Pipeline output attribute.,str,,False,,R_APP_001,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison|data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,rule_key,rule_key,Pipeline output attribute.,str,,False,,flag_missing_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,severity,severity,Pipeline output attribute.,str,,False,high|low|medium,high,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog
rule_catalog,source_columns,source_columns,Pipeline output attribute.,str,,False,,clean_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,stage,stage,Pipeline output attribute.,str,,False,post|pre,post,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
rule_catalog,value_source,value_source,Pipeline output attribute.,str,,False,clean|derived|metadata|raw,clean,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,count_unit,count_unit,Pipeline output attribute.,str,,False,rows,rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,dataset_scope,dataset_scope,Pipeline output attribute.,str,,False,curated,curated,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,denominator,denominator,Pipeline output attribute.,str,,False,application_rows|spending_rows,application_rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,description,description,Pipeline output attribute.,str,,False,,Missing or blank processing timestamp.,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,example_application_ids,example_application_ids,Pipeline output attribute.,str,,False,|app_001|app_002|app_003|app_004|app_005|app_001|app_075|app_120|app_165|app_268|app_021|app_086|app_089|app_091|app_130|app_047|app_144|app_195|app_223|app_236|app_047|app_144|app_195|app_223|app_286|app_068|app_146|app_204|app_299|app_075|app_120|app_165|app_268|app_350|app_421|app_436|app_449|app_463|app_479,app_001|app_002|app_003|app_004|app_005,Quasi-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,failed_count,failed_count,Pipeline output attribute.,int,,False,"[0, 497]",440,Non-PII,pipeline_derived_or_passthrough,,schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,failed_percent,failed_percent,Pipeline output attribute.,float,,False,"[0.0, 99.0]",87.65,Non-PII,pipeline_derived_or_passthrough,,schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,field_path,field_path,Pipeline output attribute.,str,,False,,processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|pii_inventory|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,field_path_annotated,field_path_annotated,Pipeline output attribute.,str,,False,,processing_timestamp_clean,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,rule_family,rule_family,Pipeline output attribute.,str,,False,APP|SPN,APP,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,rule_id,rule_id,Pipeline output attribute.,str,,False,,R_APP_001,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison|data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,rule_key,rule_key,Pipeline output attribute.,str,,False,,flag_missing_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,source_columns,source_columns,Pipeline output attribute.,str,,False,,clean_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,stage,stage,Pipeline output attribute.,str,,False,post,post,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_post,value_source,value_source,Pipeline output attribute.,str,,False,clean|derived|raw,clean,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,count_unit,count_unit,Pipeline output attribute.,str,,False,rows,rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,dataset_scope,dataset_scope,Pipeline output attribute.,str,,False,raw,raw,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,denominator,denominator,Pipeline output attribute.,str,,False,application_rows|spending_rows,application_rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,description,description,Pipeline output attribute.,str,,False,,Missing or blank processing timestamp.,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,example_application_ids,example_application_ids,Pipeline output attribute.,str,,False,,app_001|app_002|app_003|app_004|app_005,Quasi-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,failed_count,failed_count,Pipeline output attribute.,int,,False,"[0, 497]",440,Non-PII,pipeline_derived_or_passthrough,,schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,failed_percent,failed_percent,Pipeline output attribute.,float,,False,"[0.0, 99.0]",87.65,Non-PII,pipeline_derived_or_passthrough,,schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,field_path,field_path,Pipeline output attribute.,str,,False,,processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|pii_inventory|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,field_path_annotated,field_path_annotated,Pipeline output attribute.,str,,False,,processing_timestamp_raw,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,rule_family,rule_family,Pipeline output attribute.,str,,False,APP|SPN,APP,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,rule_id,rule_id,Pipeline output attribute.,str,,False,,R_APP_001,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison|data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,rule_key,rule_key,Pipeline output attribute.,str,,False,,flag_missing_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,source_columns,source_columns,Pipeline output attribute.,str,,False,,raw_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,stage,stage,Pipeline output attribute.,str,,False,pre,pre,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
schema_validation_report_pre,value_source,value_source,Pipeline output attribute.,str,,False,raw,raw,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
spending_items_clean,amount_clean,amount_clean,Pipeline output attribute.,int,,False,"[51, 899]",480,Non-PII,pipeline_derived_or_passthrough,R_SPN_003,spending_items_clean
spending_items_clean,amount_negative_flag,amount_negative_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,spending_items_clean
spending_items_clean,amount_non_numeric_flag,amount_non_numeric_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,R_SPN_002,spending_items_clean
spending_items_clean,amount_nullified_flag,amount_nullified_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,spending_items_clean
spending_items_clean,application_id,_id,External application identifier.,str,string,False,,app_200,Quasi-PII,pipeline_derived_or_passthrough,R_DUP_001|R_DUP_002|R_DUP_003|R_DUP_004|R_DUP_CANONICAL|R_DUP_CONFLICT,applications_analysis|applications_curated_full|duplicate_id_report|spending_items_clean
spending_items_clean,application_row_id,application_row_id,Pipeline output attribute.,int,,False,"[0, 501]",0,Non-PII,pipeline_derived_or_passthrough,R_DUP_CANONICAL,applications_curated_full|spending_items_clean
spending_items_clean,category_clean,category_clean,Pipeline output attribute.,str,,False,,Shopping,Non-PII,pipeline_derived_or_passthrough,R_SPN_001,spending_items_clean
spending_items_clean,category_missing_flag,category_missing_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,spending_items_clean
spending_items_clean,raw_amount,spending_behavior[].amount,Spending amount must be >= 0.,int,numeric,False,"[51, 899]",480,Non-PII,source_json -> raw passthrough,R_SPN_002|R_SPN_003,spending_items_clean
spending_items_clean,raw_category,spending_behavior[].category,Spending category label.,str,string,False,,Shopping,Non-PII,source_json -> raw passthrough,R_SPN_001,spending_items_clean
spending_items_clean,spending_index,spending_index,Pipeline output attribute.,int,,False,"[0, 3]",0,Non-PII,pipeline_derived_or_passthrough,,spending_items_clean
